Time from [CET/CEST],Price EXAA 10:15 Auction [EUR/MWh]
1/1/2016 0:00,30.86
1/1/2016 0:15,18.9
1/1/2016 0:30,16.24
1/1/2016 0:45,12
1/1/2016 1:00,21.62
1/1/2016 1:15,18.46
1/1/2016 1:30,16.92
1/1/2016 1:45,17
1/1/2016 2:00,22.06
1/1/2016 2:15,16.91
1/1/2016 2:30,12.46
1/1/2016 2:45,18.46
1/1/2016 3:00,15
1/1/2016 3:15,10.53
1/1/2016 3:30,15.35
1/1/2016 3:45,17.07
1/1/2016 4:00,10.97
1/1/2016 4:15,11.46
1/1/2016 4:30,15.79
1/1/2016 4:45,13.67
1/1/2016 5:00,10.2
1/1/2016 5:15,13.53
1/1/2016 5:30,15.78
1/1/2016 5:45,17.4
1/1/2016 6:00,13.39
1/1/2016 6:15,16.55
1/1/2016 6:30,13.95
1/1/2016 6:45,20.5
1/1/2016 7:00,10.66
1/1/2016 7:15,14.98
1/1/2016 7:30,20.3
1/1/2016 7:45,25.87
1/1/2016 8:00,15.05
1/1/2016 8:15,20.54
1/1/2016 8:30,26.8
1/1/2016 8:45,30.76
1/1/2016 9:00,20
1/1/2016 9:15,23.96
1/1/2016 9:30,30.12
1/1/2016 9:45,31.88
1/1/2016 10:00,22.66
1/1/2016 10:15,28.08
1/1/2016 10:30,27
1/1/2016 10:45,32.22
1/1/2016 11:00,22.06
1/1/2016 11:15,26.94
1/1/2016 11:30,32.33
1/1/2016 11:45,34.66
1/1/2016 12:00,25.79
1/1/2016 12:15,32.25
1/1/2016 12:30,33.22
1/1/2016 12:45,26.7
1/1/2016 13:00,25.51
1/1/2016 13:15,26.14
1/1/2016 13:30,31.25
1/1/2016 13:45,31.08
1/1/2016 14:00,20.5
1/1/2016 14:15,26.75
1/1/2016 14:30,32.15
1/1/2016 14:45,34.59
1/1/2016 15:00,18.3
1/1/2016 15:15,26.04
1/1/2016 15:30,32.65
1/1/2016 15:45,38.89
1/1/2016 16:00,16.99
1/1/2016 16:15,27.81
1/1/2016 16:30,35.58
1/1/2016 16:45,46
1/1/2016 17:00,28.32
1/1/2016 17:15,36.3
1/1/2016 17:30,39.47
1/1/2016 17:45,44
1/1/2016 18:00,32
1/1/2016 18:15,41.75
1/1/2016 18:30,42.25
1/1/2016 18:45,36
1/1/2016 19:00,43.81
1/1/2016 19:15,37.9
1/1/2016 19:30,36.82
1/1/2016 19:45,27.47
1/1/2016 20:00,48
1/1/2016 20:15,32.04
1/1/2016 20:30,26.65
1/1/2016 20:45,19.5
1/1/2016 21:00,35.51
1/1/2016 21:15,26.9
1/1/2016 21:30,26.61
1/1/2016 21:45,23.71
1/1/2016 22:00,40.71
1/1/2016 22:15,31.31
1/1/2016 22:30,24.17
1/1/2016 22:45,13.37
1/1/2016 23:00,39.24
1/1/2016 23:15,25.9
1/1/2016 23:30,22.8
1/1/2016 23:45,7.4
1/2/2016 0:00,40.7
1/2/2016 0:15,29.58
1/2/2016 0:30,21.84
1/2/2016 0:45,12
1/2/2016 1:00,51
1/2/2016 1:15,23.92
1/2/2016 1:30,14.1
1/2/2016 1:45,10.4
1/2/2016 2:00,34.7
1/2/2016 2:15,23.46
1/2/2016 2:30,19.5
1/2/2016 2:45,12
1/2/2016 3:00,26.67
1/2/2016 3:15,24.17
1/2/2016 3:30,17
1/2/2016 3:45,12
1/2/2016 4:00,25.58
1/2/2016 4:15,22.6
1/2/2016 4:30,12.7
1/2/2016 4:45,3.14
1/2/2016 5:00,30.11
1/2/2016 5:15,16.3
1/2/2016 5:30,12
1/2/2016 5:45,10
1/2/2016 6:00,20.4
1/2/2016 6:15,19.62
1/2/2016 6:30,16.32
1/2/2016 6:45,21.2
1/2/2016 7:00,16.07
1/2/2016 7:15,25.8
1/2/2016 7:30,26
1/2/2016 7:45,32.03
1/2/2016 8:00,22
1/2/2016 8:15,29.52
1/2/2016 8:30,26
1/2/2016 8:45,29
1/2/2016 9:00,34.66
1/2/2016 9:15,31.57
1/2/2016 9:30,26.43
1/2/2016 9:45,21.67
1/2/2016 10:00,38.19
1/2/2016 10:15,31.27
1/2/2016 10:30,24.49
1/2/2016 10:45,24
1/2/2016 11:00,26.83
1/2/2016 11:15,32.06
1/2/2016 11:30,30.74
1/2/2016 11:45,23.85
1/2/2016 12:00,37.54
1/2/2016 12:15,25.36
1/2/2016 12:30,24
1/2/2016 12:45,16.21
1/2/2016 13:00,28.47
1/2/2016 13:15,22.3
1/2/2016 13:30,25.35
1/2/2016 13:45,18.41
1/2/2016 14:00,26.59
1/2/2016 14:15,20.9
1/2/2016 14:30,20.9
1/2/2016 14:45,26.59
1/2/2016 15:00,21.17
1/2/2016 15:15,22.75
1/2/2016 15:30,26.7
1/2/2016 15:45,19.37
1/2/2016 16:00,11.56
1/2/2016 16:15,22.61
1/2/2016 16:30,30.2
1/2/2016 16:45,37.59
1/2/2016 17:00,14.5
1/2/2016 17:15,28.76
1/2/2016 17:30,36.87
1/2/2016 17:45,34
1/2/2016 18:00,37.84
1/2/2016 18:15,26.56
1/2/2016 18:30,27.85
1/2/2016 18:45,17.73
1/2/2016 19:00,30.29
1/2/2016 19:15,33.9
1/2/2016 19:30,26.56
1/2/2016 19:45,16.2
1/2/2016 20:00,33.8
1/2/2016 20:15,23.22
1/2/2016 20:30,17.69
1/2/2016 20:45,12.1
1/2/2016 21:00,21.9
1/2/2016 21:15,13.71
1/2/2016 21:30,15.66
1/2/2016 21:45,16.68
1/2/2016 22:00,20.4
1/2/2016 22:15,19.8
1/2/2016 22:30,18.22
1/2/2016 22:45,4
1/2/2016 23:00,21.53
1/2/2016 23:15,13.8
1/2/2016 23:30,14.4
1/2/2016 23:45,0
1/3/2016 0:00,21.4
1/3/2016 0:15,15.06
1/3/2016 0:30,9.03
1/3/2016 0:45,6
1/3/2016 1:00,21.1
1/3/2016 1:15,10.79
1/3/2016 1:30,7.86
1/3/2016 1:45,3.4
1/3/2016 2:00,13.22
1/3/2016 2:15,8.62
1/3/2016 2:30,12
1/3/2016 2:45,6
1/3/2016 3:00,7.56
1/3/2016 3:15,4.42
1/3/2016 3:30,6
1/3/2016 3:45,6
1/3/2016 4:00,4.82
1/3/2016 4:15,5.1
1/3/2016 4:30,6
1/3/2016 4:45,6.5
1/3/2016 5:00,9.9
1/3/2016 5:15,1.8
1/3/2016 5:30,0.07
1/3/2016 5:45,9.6
1/3/2016 6:00,-2
1/3/2016 6:15,0.47
1/3/2016 6:30,5.5
1/3/2016 6:45,17.91
1/3/2016 7:00,-3.2
1/3/2016 7:15,8.4
1/3/2016 7:30,10.9
1/3/2016 7:45,24.7
1/3/2016 8:00,-6
1/3/2016 8:15,17.37
1/3/2016 8:30,19.4
1/3/2016 8:45,26.74
1/3/2016 9:00,13.91
1/3/2016 9:15,16.5
1/3/2016 9:30,17.65
1/3/2016 9:45,21.92
1/3/2016 10:00,19.1
1/3/2016 10:15,16
1/3/2016 10:30,17.1
1/3/2016 10:45,25.8
1/3/2016 11:00,14
1/3/2016 11:15,17
1/3/2016 11:30,26.58
1/3/2016 11:45,32.49
1/3/2016 12:00,25.8
1/3/2016 12:15,24.61
1/3/2016 12:30,18.9
1/3/2016 12:45,14
1/3/2016 13:00,20.1
1/3/2016 13:15,19.1
1/3/2016 13:30,24
1/3/2016 13:45,19.02
1/3/2016 14:00,14.19
1/3/2016 14:15,16.5
1/3/2016 14:30,21.24
1/3/2016 14:45,29.8
1/3/2016 15:00,12.09
1/3/2016 15:15,16.2
1/3/2016 15:30,23.5
1/3/2016 15:45,30.2
1/3/2016 16:00,7.71
1/3/2016 16:15,15.89
1/3/2016 16:30,30.1
1/3/2016 16:45,39.47
1/3/2016 17:00,12.17
1/3/2016 17:15,26.05
1/3/2016 17:30,35.9
1/3/2016 17:45,35.87
1/3/2016 18:00,31.16
1/3/2016 18:15,28.45
1/3/2016 18:30,32.69
1/3/2016 18:45,27.3
1/3/2016 19:00,37.2
1/3/2016 19:15,32.5
1/3/2016 19:30,25.76
1/3/2016 19:45,20.1
1/3/2016 20:00,36.3
1/3/2016 20:15,29.01
1/3/2016 20:30,19.67
1/3/2016 20:45,11.8
1/3/2016 21:00,25
1/3/2016 21:15,22.2
1/3/2016 21:30,15.6
1/3/2016 21:45,16.4
1/3/2016 22:00,31.94
1/3/2016 22:15,29
1/3/2016 22:30,14.7
1/3/2016 22:45,8.83
1/3/2016 23:00,32.4
1/3/2016 23:15,23.63
1/3/2016 23:30,12.6
1/3/2016 23:45,-1.04
1/4/2016 0:00,29.7
1/4/2016 0:15,18.63
1/4/2016 0:30,13.18
1/4/2016 0:45,2.96
1/4/2016 1:00,19.7
1/4/2016 1:15,13.6
1/4/2016 1:30,12.8
1/4/2016 1:45,10.2
1/4/2016 2:00,16.1
1/4/2016 2:15,19.17
1/4/2016 2:30,11.3
1/4/2016 2:45,10
1/4/2016 3:00,14.6
1/4/2016 3:15,11
1/4/2016 3:30,9.26
1/4/2016 3:45,13.29
1/4/2016 4:00,4.7
1/4/2016 4:15,8
1/4/2016 4:30,17.6
1/4/2016 4:45,22.41
1/4/2016 5:00,9.2
1/4/2016 5:15,5.22
1/4/2016 5:30,18.72
1/4/2016 5:45,43.17
1/4/2016 6:00,-12.69
1/4/2016 6:15,17.6
1/4/2016 6:30,37.48
1/4/2016 6:45,72
1/4/2016 7:00,10
1/4/2016 7:15,33.64
1/4/2016 7:30,47
1/4/2016 7:45,53.27
1/4/2016 8:00,32.58
1/4/2016 8:15,37.6
1/4/2016 8:30,39.96
1/4/2016 8:45,37.76
1/4/2016 9:00,45.34
1/4/2016 9:15,40.58
1/4/2016 9:30,34.85
1/4/2016 9:45,29.88
1/4/2016 10:00,37.56
1/4/2016 10:15,37.96
1/4/2016 10:30,34.45
1/4/2016 10:45,33.4
1/4/2016 11:00,35.4
1/4/2016 11:15,38
1/4/2016 11:30,36.1
1/4/2016 11:45,37.61
1/4/2016 12:00,35.19
1/4/2016 12:15,35.56
1/4/2016 12:30,36.26
1/4/2016 12:45,36
1/4/2016 13:00,29.49
1/4/2016 13:15,36.77
1/4/2016 13:30,38.63
1/4/2016 13:45,30.9
1/4/2016 14:00,28.45
1/4/2016 14:15,35.8
1/4/2016 14:30,37.12
1/4/2016 14:45,35.65
1/4/2016 15:00,28.4
1/4/2016 15:15,32.8
1/4/2016 15:30,38
1/4/2016 15:45,43.4
1/4/2016 16:00,26.7
1/4/2016 16:15,35.25
1/4/2016 16:30,40.9
1/4/2016 16:45,48.3
1/4/2016 17:00,35.8
1/4/2016 17:15,38.15
1/4/2016 17:30,44.83
1/4/2016 17:45,46.32
1/4/2016 18:00,45.47
1/4/2016 18:15,43.2
1/4/2016 18:30,40.4
1/4/2016 18:45,34.2
1/4/2016 19:00,49.22
1/4/2016 19:15,40.84
1/4/2016 19:30,35
1/4/2016 19:45,23.7
1/4/2016 20:00,54
1/4/2016 20:15,42.4
1/4/2016 20:30,31.5
1/4/2016 20:45,17.2
1/4/2016 21:00,45.4
1/4/2016 21:15,35.28
1/4/2016 21:30,22.19
1/4/2016 21:45,19
1/4/2016 22:00,46.16
1/4/2016 22:15,37.8
1/4/2016 22:30,17
1/4/2016 22:45,6
1/4/2016 23:00,44.2
1/4/2016 23:15,28.48
1/4/2016 23:30,12.1
1/4/2016 23:45,8.8
1/5/2016 0:00,31.95
1/5/2016 0:15,21.79
1/5/2016 0:30,18.97
1/5/2016 0:45,16.13
1/5/2016 1:00,30.23
1/5/2016 1:15,23.9
1/5/2016 1:30,15.74
1/5/2016 1:45,14
1/5/2016 2:00,24
1/5/2016 2:15,20.75
1/5/2016 2:30,17.18
1/5/2016 2:45,18.4
1/5/2016 3:00,19.07
1/5/2016 3:15,17.02
1/5/2016 3:30,16.08
1/5/2016 3:45,22.72
1/5/2016 4:00,15.8
1/5/2016 4:15,15.91
1/5/2016 4:30,18.38
1/5/2016 4:45,25
1/5/2016 5:00,9.96
1/5/2016 5:15,14
1/5/2016 5:30,22.11
1/5/2016 5:45,37.28
1/5/2016 6:00,-6.93
1/5/2016 6:15,16.41
1/5/2016 6:30,35.81
1/5/2016 6:45,51.7
1/5/2016 7:00,10.92
1/5/2016 7:15,31.6
1/5/2016 7:30,42.35
1/5/2016 7:45,50
1/5/2016 8:00,30.08
1/5/2016 8:15,40.64
1/5/2016 8:30,41.32
1/5/2016 8:45,41.7
1/5/2016 9:00,40.01
1/5/2016 9:15,39.11
1/5/2016 9:30,36.75
1/5/2016 9:45,34
1/5/2016 10:00,38.21
1/5/2016 10:15,38
1/5/2016 10:30,35.55
1/5/2016 10:45,36.07
1/5/2016 11:00,37.65
1/5/2016 11:15,36.37
1/5/2016 11:30,38.3
1/5/2016 11:45,36.96
1/5/2016 12:00,36.47
1/5/2016 12:15,35.98
1/5/2016 12:30,36.39
1/5/2016 12:45,37.47
1/5/2016 13:00,37.27
1/5/2016 13:15,36.2
1/5/2016 13:30,36.23
1/5/2016 13:45,35.87
1/5/2016 14:00,29.9
1/5/2016 14:15,34.84
1/5/2016 14:30,36.67
1/5/2016 14:45,37.88
1/5/2016 15:00,30.08
1/5/2016 15:15,35.1
1/5/2016 15:30,35.43
1/5/2016 15:45,35.72
1/5/2016 16:00,29.3
1/5/2016 16:15,34.5
1/5/2016 16:30,40.22
1/5/2016 16:45,46.9
1/5/2016 17:00,38.3
1/5/2016 17:15,41.38
1/5/2016 17:30,45
1/5/2016 17:45,44.54
1/5/2016 18:00,46.4
1/5/2016 18:15,44.19
1/5/2016 18:30,41.5
1/5/2016 18:45,35.97
1/5/2016 19:00,49.7
1/5/2016 19:15,41.37
1/5/2016 19:30,36.33
1/5/2016 19:45,28.24
1/5/2016 20:00,51.29
1/5/2016 20:15,39.3
1/5/2016 20:30,29
1/5/2016 20:45,19.64
1/5/2016 21:00,42.1
1/5/2016 21:15,34.48
1/5/2016 21:30,27.75
1/5/2016 21:45,21.52
1/5/2016 22:00,40.54
1/5/2016 22:15,34.25
1/5/2016 22:30,27.43
1/5/2016 22:45,17.25
1/5/2016 23:00,39.56
1/5/2016 23:15,28.05
1/5/2016 23:30,19.24
1/5/2016 23:45,13.15
1/6/2016 0:00,33.15
1/6/2016 0:15,27.42
1/6/2016 0:30,23.17
1/6/2016 0:45,19.75
1/6/2016 1:00,31.78
1/6/2016 1:15,26.24
1/6/2016 1:30,25.35
1/6/2016 1:45,19.94
1/6/2016 2:00,27.98
1/6/2016 2:15,28.3
1/6/2016 2:30,22.4
1/6/2016 2:45,16.55
1/6/2016 3:00,25.38
1/6/2016 3:15,23.98
1/6/2016 3:30,21.9
1/6/2016 3:45,20.76
1/6/2016 4:00,18.46
1/6/2016 4:15,22
1/6/2016 4:30,26.46
1/6/2016 4:45,25.08
1/6/2016 5:00,16.86
1/6/2016 5:15,20.42
1/6/2016 5:30,23.46
1/6/2016 5:45,36.85
1/6/2016 6:00,6.45
1/6/2016 6:15,22.29
1/6/2016 6:30,35.71
