Date (GMT+2),Non-Renewable Power (MW),Renewable Power (MW),"Day Ahead Auction (DE-AT-LU) Price (EUR/MWh, EUR/tCO2)","Day Ahead Auction (IT-North-AT) Price (EUR/MWh, EUR/tCO2)"
2016-01-01T00:00+02:00,1003.9,1961.8375,23.86,49.62
2016-01-01T01:00+02:00,952.4,1872.89,22.39,43.5
2016-01-01T02:00+02:00,938.3,1811.3675,20.59,38.63
2016-01-01T03:00+02:00,896,1782.29,16.81,36.8
2016-01-01T04:00+02:00,867,1746.7075,17.41,34.5
2016-01-01T05:00+02:00,852.9,1769.8025,17.02,32.1
2016-01-01T06:00+02:00,885,1810.3825,15.86,36
2016-01-01T07:00+02:00,939.4,1847.7825,18.16,37.54
2016-01-01T08:00+02:00,936.1,1804.07,17.73,37.54
2016-01-01T09:00+02:00,1050.8,1930.695,19.77,35.95
2016-01-01T10:00+02:00,1098,1912.7425,23.75,37.63
2016-01-01T11:00+02:00,1123.8,2026.7475,26.03,36.8
2016-01-01T12:00+02:00,1113.4,2129.595,27.06,37.54
2016-01-01T13:00+02:00,1109.7,2034.2675,26.59,34.6
2016-01-01T14:00+02:00,1117.1,1978.7775,25,35.95
2016-01-01T15:00+02:00,1113.5,1959.055,24.43,41.18
2016-01-01T16:00+02:00,1127.4,2218.505,28.87,46.65
2016-01-01T17:00+02:00,1124.9,2424.91,37.44,57.96
2016-01-01T18:00+02:00,1129,2546.1675,37.41,61.31
2016-01-01T19:00+02:00,1108.3,2442.5025,35.34,60
2016-01-01T20:00+02:00,1106.9,2483.99,33.07,57
2016-01-01T21:00+02:00,1119.5,2225.835,29.52,55
2016-01-01T22:00+02:00,1090.4,1909.81,30.1,46.76
2016-01-01T23:00+02:00,999.9,1767.1425,24.57,43.21
2016-01-02T00:00+02:00,1006.2,1751.5375,22.2,39.52
2016-01-02T01:00+02:00,965.9,1725.575,16.57,36.29
2016-01-02T02:00+02:00,898.3,1737.57,15.35,35.89
2016-01-02T03:00+02:00,957.3,1780.5575,12.77,35.22
2016-01-02T04:00+02:00,956.9,1835.0725,11.27,35.15
2016-01-02T05:00+02:00,1202.7,1835.19,11.91,35.89
2016-01-02T06:00+02:00,1456.6,1929.59,12.62,38.72
2016-01-02T07:00+02:00,1634.3,2004.525,13.83,45.88
2016-01-02T08:00+02:00,1786.5,2149.0375,16.12,54.51
2016-01-02T09:00+02:00,1900.2,2242.28,18.12,55
2016-01-02T10:00+02:00,1869.5,2425.8175,19.59,54.61
2016-01-02T11:00+02:00,1940.6,2422.1725,21.07,48.48
2016-01-02T12:00+02:00,1873.2,2616.12,22.54,45.01
2016-01-02T13:00+02:00,1917.7,2561.665,19.79,41.64
2016-01-02T14:00+02:00,1953.9,2613.145,16.9,43.72
2016-01-02T15:00+02:00,2007.8,2645.8025,16.97,48.95
2016-01-02T16:00+02:00,2169.5,2762.6875,19.25,52.99
2016-01-02T17:00+02:00,2498.8,2964.635,28.01,60.99
2016-01-02T18:00+02:00,2383.6,3042.085,28.36,59.95
2016-01-02T19:00+02:00,2344.4,2961.16,26.56,55
2016-01-02T20:00+02:00,2152.2,2961.9525,17.38,50.24
2016-01-02T21:00+02:00,1798.5,2890.105,15.83,43.21
2016-01-02T22:00+02:00,1354.6,2811.385,16.97,40.23
2016-01-02T23:00+02:00,1115.7,2759.12,15.31,38.65
2016-01-03T00:00+02:00,1148.7,2765.34,6.99,36.48
2016-01-03T01:00+02:00,1109.9,2734.7475,-0.01,29.03
2016-01-03T02:00+02:00,1077.5,2592.245,0.23,26.5
2016-01-03T03:00+02:00,1050.6,2530.51,4.51,22.32
2016-01-03T04:00+02:00,1056.5,2460.65,4.12,17
2016-01-03T05:00+02:00,1063.2,2420.105,6.76,19.99
2016-01-03T06:00+02:00,1069,2442.71,0.75,24.56
2016-01-03T07:00+02:00,1194.6,2491.33,4.27,30.9
2016-01-03T08:00+02:00,1304.9,2437.7,9.11,33.46
2016-01-03T09:00+02:00,1439.7,2389.675,15.92,36.01
2016-01-03T10:00+02:00,1545,2512.0825,17.06,36.77
2016-01-03T11:00+02:00,1503.5,2493.3725,19.28,36.07
2016-01-03T12:00+02:00,1666.7,2414.3125,20.25,35.89
2016-01-03T13:00+02:00,1609.3,2372.32,17.66,29.03
2016-01-03T14:00+02:00,1561.5,2345.1125,18.49,30.1
2016-01-03T15:00+02:00,1562.1,2246.5375,16.51,37.48
2016-01-03T16:00+02:00,1608.5,2596.8825,18.76,40.14
2016-01-03T17:00+02:00,2055.9,2855.545,22.21,49.61
2016-01-03T18:00+02:00,2098.5,2953.485,26.76,55.1
2016-01-03T19:00+02:00,2114,3049.5825,27.08,52.68
2016-01-03T20:00+02:00,2040.9,3199.065,25.33,51
2016-01-03T21:00+02:00,1864,3364.8775,22.11,46.67
2016-01-03T22:00+02:00,1763.3,3548.7575,20.91,40.14
2016-01-03T23:00+02:00,1582.5,3597.8175,14.43,37.78
2016-01-04T00:00+02:00,1547.2,3689.165,13.78,34.97
2016-01-04T01:00+02:00,1517.9,3703.8075,12.77,27.51
2016-01-04T02:00+02:00,1480.4,3772.87,10.56,24.56
2016-01-04T03:00+02:00,1424.8,3792.6,3.87,24.86
2016-01-04T04:00+02:00,1517.5,3764.45,3.2,22.78
2016-01-04T05:00+02:00,1723.5,3767.2175,8.67,29.03
2016-01-04T06:00+02:00,2003.5,4165.155,18.01,38.63
2016-01-04T07:00+02:00,2316.9,4446.1275,28.52,47.48
2016-01-04T08:00+02:00,2353.9,4610.5875,34.74,54.89
2016-01-04T09:00+02:00,2480.8,4276.4125,33.46,54.89
2016-01-04T10:00+02:00,2421.3,4363.4875,33.24,54.46
2016-01-04T11:00+02:00,2418.3,4231.375,35.09,48
2016-01-04T12:00+02:00,2391.9,4233.0875,35,44.56
2016-01-04T13:00+02:00,2367,4014.08,35,42.75
2016-01-04T14:00+02:00,2358.3,3779.785,34.94,46.05
2016-01-04T15:00+02:00,2359,3576.6025,34.92,52.51
2016-01-04T16:00+02:00,2284.9,3644.1375,38,53.35
2016-01-04T17:00+02:00,2242.2,3571.6025,41.21,60
2016-01-04T18:00+02:00,2263.3,3471.7275,42.95,58.46
2016-01-04T19:00+02:00,2288.4,2942.7125,41.96,55.51
2016-01-04T20:00+02:00,2215.6,2680.2925,34.94,53
2016-01-04T21:00+02:00,2144.4,2366.02,30.66,47.79
2016-01-04T22:00+02:00,2109.2,2193.11,30,42.75
2016-01-04T23:00+02:00,1969.8,2044.2775,23.9,38.68
2016-01-05T00:00+02:00,1388.5,1990.2875,25.03,31.81
2016-01-05T01:00+02:00,1261,1978.6375,24.42,24.42
2016-01-05T02:00+02:00,1138.3,1959.28,22.34,22.34
2016-01-05T03:00+02:00,1080.7,2033.265,21.5,21.5
2016-01-05T04:00+02:00,1082.9,2035.3025,20,20
2016-01-05T05:00+02:00,1121.7,2032.1375,23.53,29.03
2016-01-05T06:00+02:00,1335.7,2279.91,28.96,39.26
2016-01-05T07:00+02:00,1435.2,2710.4825,38.32,52.99
2016-01-05T08:00+02:00,1652,2836.4125,41.45,54.85
2016-01-05T09:00+02:00,2015.3,2712.71,40.72,55
2016-01-05T10:00+02:00,2316.7,2858.89,40.66,54.89
2016-01-05T11:00+02:00,2328.8,2827.6875,40.33,53.86
2016-01-05T12:00+02:00,2418.7,2625.015,38.25,48.2
2016-01-05T13:00+02:00,2404.2,2480.7525,36.98,46.65
2016-01-05T14:00+02:00,2444.9,2355.1525,34.91,48
2016-01-05T15:00+02:00,2473.2,2587.735,33.5,52
