Time from [CET/CEST],Price final [EUR/MWh]
1/1/2016 0:00,57.52
1/1/2016 0:15,5.93
1/1/2016 0:30,6.63
1/1/2016 0:45,5.65
1/1/2016 1:00,62.35
1/1/2016 1:15,1.83
1/1/2016 1:30,0.92
1/1/2016 1:45,3.55
1/1/2016 2:00,6.98
1/1/2016 2:15,6.98
1/1/2016 2:30,34.83
1/1/2016 2:45,-53.27
1/1/2016 3:00,-59.93
1/1/2016 3:15,-5.8
1/1/2016 3:30,-10.34
1/1/2016 3:45,6.4
1/1/2016 4:00,5.06
1/1/2016 4:15,0.54
1/1/2016 4:30,3.48
1/1/2016 4:45,58.73
1/1/2016 5:00,-16.65
1/1/2016 5:15,-5.26
1/1/2016 5:30,59.25
1/1/2016 5:45,65.89
1/1/2016 6:00,116.71
1/1/2016 6:15,84.73
1/1/2016 6:30,118.86
1/1/2016 6:45,67.38
1/1/2016 7:00,67.52
1/1/2016 7:15,6.12
1/1/2016 7:30,-0.02
1/1/2016 7:45,78
1/1/2016 8:00,4.67
1/1/2016 8:15,-4.14
1/1/2016 8:30,87.89
1/1/2016 8:45,88.11
1/1/2016 9:00,6.58
1/1/2016 9:15,3.54
1/1/2016 9:30,0.45
1/1/2016 9:45,-1.11
1/1/2016 10:00,-15.02
1/1/2016 10:15,-33
1/1/2016 10:30,-139.25
1/1/2016 10:45,-11.41
1/1/2016 11:00,-211.47
1/1/2016 11:15,-11.78
1/1/2016 11:30,-17.88
1/1/2016 11:45,-8.63
1/1/2016 12:00,5.04
1/1/2016 12:15,-29.74
1/1/2016 12:30,-33.4
1/1/2016 12:45,-16.34
1/1/2016 13:00,3.77
1/1/2016 13:15,7.88
1/1/2016 13:30,8.7
1/1/2016 13:45,13.03
1/1/2016 14:00,60.77
1/1/2016 14:15,61.34
1/1/2016 14:30,65.85
1/1/2016 14:45,65.09
1/1/2016 15:00,4.69
1/1/2016 15:15,11.63
1/1/2016 15:30,32.39
1/1/2016 15:45,-13.67
1/1/2016 16:00,3.04
1/1/2016 16:15,6.14
1/1/2016 16:30,16.09
1/1/2016 16:45,15.91
1/1/2016 17:00,14.16
1/1/2016 17:15,12.53
1/1/2016 17:30,15.26
1/1/2016 17:45,17.78
1/1/2016 18:00,13.45
1/1/2016 18:15,12.22
1/1/2016 18:30,7.64
1/1/2016 18:45,8.37
1/1/2016 19:00,14.74
1/1/2016 19:15,6.31
1/1/2016 19:30,3.78
1/1/2016 19:45,4.47
1/1/2016 20:00,6.5
1/1/2016 20:15,58.47
1/1/2016 20:30,38.56
1/1/2016 20:45,4.08
1/1/2016 21:00,60.16
1/1/2016 21:15,55.58
1/1/2016 21:30,6.32
1/1/2016 21:45,10.15
1/1/2016 22:00,71.74
1/1/2016 22:15,-11
1/1/2016 22:30,39.01
1/1/2016 22:45,39.01
1/1/2016 23:00,-11
1/1/2016 23:15,-11
1/1/2016 23:30,12.8
1/1/2016 23:45,10.6
1/2/2016 0:00,5.67
1/2/2016 0:15,5.07
1/2/2016 0:30,6.07
1/2/2016 0:45,3.97
1/2/2016 1:00,-58.8
1/2/2016 1:15,65.95
1/2/2016 1:30,-58.8
1/2/2016 1:45,-58.35
1/2/2016 2:00,63.54
1/2/2016 2:15,80.31
1/2/2016 2:30,78.87
1/2/2016 2:45,79.57
1/2/2016 3:00,5.21
1/2/2016 3:15,1.13
1/2/2016 3:30,5.2
1/2/2016 3:45,30.15
1/2/2016 4:00,63.08
1/2/2016 4:15,-58.4
1/2/2016 4:30,-0.81
1/2/2016 4:45,6.08
1/2/2016 5:00,6.06
1/2/2016 5:15,4.14
1/2/2016 5:30,5.49
1/2/2016 5:45,77.22
1/2/2016 6:00,-17.87
1/2/2016 6:15,-82.63
1/2/2016 6:30,-14.37
1/2/2016 6:45,77.36
1/2/2016 7:00,-2.67
1/2/2016 7:15,76.95
1/2/2016 7:30,76.59
1/2/2016 7:45,76.19
1/2/2016 8:00,83.64
1/2/2016 8:15,11.64
1/2/2016 8:30,12.28
1/2/2016 8:45,12.68
1/2/2016 9:00,-9.25
1/2/2016 9:15,-15.9
