datetime,LV6.201 Load 1 [H0-A],LV6.201 Load 3 [H0-A],LV6.201 Load 6 [H0-A],LV6.201 Load 11 [H0-A],LV6.201 Load 20 [H0-A],LV6.201 Load 27 [H0-A],LV6.201 Load 30 [H0-A],LV6.201 Load 36 [H0-A],LV6.201 Load 37 [H0-A]
2016-01-01 00:00:00,0.000764,0.000809,0.000853,0.001678,0.001034,0.00136,0.001143,0.000929,0.000997
2016-01-01 00:15:00,0.0002,0.000217,0.000224,0.000329,0.000256,0.000263,0.000278,0.000184,0.000199
2016-01-01 00:30:00,0.00058,0.000589,0.000762,0.001022,0.000745,0.001002,0.001029,0.000671,0.000574
2016-01-01 00:45:00,0.000467,0.000497,0.000383,0.000674,0.000472,0.000476,0.000499,0.000394,0.000376
2016-01-01 01:00:00,0.000297,0.000404,0.000334,0.000628,0.000362,0.000563,0.000527,0.000353,0.000341
2016-01-01 01:15:00,0.000314,0.000398,0.000379,0.000502,0.000283,0.000472,0.000407,0.000318,0.000308
2016-01-01 01:30:00,0.000362,0.000434,0.000463,0.000541,0.000374,0.000422,0.000558,0.000443,0.000438
2016-01-01 01:45:00,0.000285,0.00031,0.000265,0.000597,0.000365,0.000437,0.000356,0.000303,0.00033
2016-01-01 02:00:00,0.000226,0.000285,0.000253,0.000421,0.000267,0.000357,0.000386,0.000234,0.000262
2016-01-01 02:15:00,0.000295,0.000228,0.00024,0.0005,0.000256,0.000358,0.000305,0.000275,0.000243
2016-01-01 02:30:00,0.000245,0.000292,0.000316,0.000386,0.000231,0.000372,0.000319,0.000304,0.000248
2016-01-01 02:45:00,0.000142,0.000143,0.000141,0.00021,0.00016,0.000159,0.000175,0.000139,0.000127
2016-01-01 03:00:00,0.000123,0.000145,0.000127,0.000218,0.000146,0.00017,0.000158,0.000135,0.00013
2016-01-01 03:15:00,0.000107,0.000104,0.000124,0.000207,9.5e-05,0.000125,0.000168,0.000104,0.000105
2016-01-01 03:30:00,6.8e-05,7.3e-05,8.8e-05,0.000109,8.3e-05,0.00011,9.8e-05,6.5e-05,7.2e-05
2016-01-01 03:45:00,8.8e-05,9.1e-05,7.7e-05,0.000163,7.3e-05,0.000117,9.5e-05,8.7e-05,7.8e-05
2016-01-01 04:00:00,0.000161,0.000162,0.000114,0.000249,0.000122,0.000158,0.000198,0.00015,0.000121
2016-01-01 04:15:00,0.000332,0.000297,0.000257,0.000457,0.000333,0.000368,0.000404,0.000263,0.000274
2016-01-01 04:30:00,0.00041,0.000336,0.000352,0.000637,0.000328,0.00054,0.000415,0.000382,0.000315
2016-01-01 04:45:00,9.1e-05,7.5e-05,9.3e-05,0.000136,7.1e-05,0.000106,0.000103,0.000101,0.000102
2016-01-01 05:00:00,8.2e-05,8.1e-05,7.9e-05,0.000119,7.9e-05,9.5e-05,9.4e-05,8.1e-05,8.3e-05
2016-01-01 05:15:00,7.2e-05,6.1e-05,6.5e-05,0.000102,6e-05,7.6e-05,8.2e-05,5.6e-05,7.4e-05
2016-01-01 05:30:00,6.7e-05,8.6e-05,7.6e-05,0.000118,6.8e-05,9e-05,0.000122,6.8e-05,6.5e-05
2016-01-01 05:45:00,0.000113,0.000107,8.9e-05,0.000159,0.000117,0.000147,0.000118,0.000117,8.2e-05
2016-01-01 06:00:00,0.000233,0.000305,0.000236,0.000403,0.000237,0.000408,0.00043,0.000299,0.000265
