datetime,LV6.201 Load 1 [H0-A],LV6.201 Load 3 [H0-A],LV6.201 Load 6 [H0-A],LV6.201 Load 11 [H0-A],LV6.201 Load 20 [H0-A],LV6.201 Load 27 [H0-A],LV6.201 Load 30 [H0-A],LV6.201 Load 36 [H0-A],LV6.201 Load 37 [H0-A]
2016-01-01 00:00:00,0.000882,0.00082,0.000898,0.001425,0.000791,0.001142,0.00105,0.000911,0.000748
2016-01-01 00:15:00,0.000187,0.000193,0.00019,0.000316,0.000198,0.000252,0.000261,0.000196,0.000184
2016-01-01 00:30:00,0.000583,0.000588,0.000611,0.000975,0.00059,0.000828,0.000773,0.000672,0.00063
2016-01-01 00:45:00,0.000398,0.000403,0.000391,0.000664,0.000383,0.000498,0.000511,0.000395,0.000385
2016-01-01 01:00:00,0.000294,0.000351,0.000352,0.00053,0.000343,0.000445,0.000433,0.000298,0.000345
2016-01-01 01:15:00,0.000302,0.000341,0.000324,0.00056,0.000308,0.000427,0.000452,0.000288,0.000289
2016-01-01 01:30:00,0.000339,0.000381,0.000333,0.000622,0.000336,0.000442,0.000502,0.000333,0.00033
2016-01-01 01:45:00,0.000306,0.000274,0.000286,0.000422,0.00031,0.000347,0.000407,0.000286,0.000266
2016-01-01 02:00:00,0.000265,0.000246,0.000239,0.000383,0.000258,0.00031,0.000321,0.000229,0.000242
2016-01-01 02:15:00,0.000253,0.000239,0.000246,0.000374,0.000255,0.000318,0.000308,0.000239,0.000213
2016-01-01 02:30:00,0.000241,0.000232,0.000233,0.000442,0.000268,0.000329,0.00033,0.000228,0.000254
2016-01-01 02:45:00,0.000128,0.00012,0.000118,0.000228,0.000133,0.000157,0.000187,0.000119,0.000128
2016-01-01 03:00:00,0.000121,0.000121,0.000116,0.000191,0.000124,0.000145,0.000149,0.000122,0.000119
2016-01-01 03:15:00,8.9e-05,9e-05,9.8e-05,0.000168,9e-05,0.000122,0.000116,0.000104,9.9e-05
2016-01-01 03:30:00,6.5e-05,6.3e-05,7.2e-05,0.000105,6.6e-05,8.9e-05,9.2e-05,7e-05,6.4e-05
2016-01-01 03:45:00,7.7e-05,7.8e-05,7.3e-05,0.000122,7.3e-05,9.4e-05,0.000106,8.3e-05,7.1e-05
2016-01-01 04:00:00,0.000133,0.000131,0.000133,0.000203,0.000115,0.000154,0.000165,0.000114,0.000116
2016-01-01 04:15:00,0.000254,0.000249,0.000266,0.000453,0.000267,0.000371,0.000336,0.00026,0.000259
2016-01-01 04:30:00,0.00031,0.000328,0.000337,0.000542,0.000313,0.000433,0.000443,0.000335,0.000341
2016-01-01 04:45:00,7.4e-05,8.7e-05,8.2e-05,0.000118,8.8e-05,0.000117,9.9e-05,8.6e-05,8.5e-05
2016-01-01 05:00:00,6e-05,5.8e-05,6.3e-05,0.000113,6.1e-05,8.3e-05,8.6e-05,6.9e-05,6.1e-05
2016-01-01 05:15:00,5.7e-05,6.2e-05,6.5e-05,9.7e-05,6.2e-05,7.9e-05,8.1e-05,5.4e-05,6.2e-05
2016-01-01 05:30:00,6.9e-05,6.9e-05,7.6e-05,0.00011,7.5e-05,9.7e-05,9.6e-05,7.5e-05,7.3e-05
2016-01-01 05:45:00,9.4e-05,8.4e-05,9.6e-05,0.000151,8.7e-05,0.000125,0.000132,8.8e-05,0.0001
2016-01-01 06:00:00,0.000245,0.000273,0.000241,0.000398,0.000265,0.000368,0.000369,0.000262,0.000247
2016-01-01 06:15:00,0.000808,0.000878,0.000822,0.001219,0.000787,0.001065,0.001077,0.000725,0.000843
2016-01-01 06:30:00,0.000653,0.000652,0.000689,0.001278,0.000785,0.000943,0.000916,0.000701,0.000742
2016-01-01 06:45:00,0.000671,0.000621,0.000712,0.001031,0.000714,0.000989,0.000901,0.000693,0.00062
2016-01-01 07:00:00,0.000589,0.00063,0.000641,0.000919,0.000605,0.000822,0.000793,0.00062,0.000624
2016-01-01 07:15:00,0.000565,0.000621,0.000571,0.00088,0.00058,0.000856,0.000873,0.000629,0.000657
2016-01-01 07:30:00,0.000613,0.000514,0.000532,0.000889,0.000529,0.000826,0.000816,0.000513,0.000563
2016-01-01 07:45:00,0.000599,0.000565,0.000585,0.00083,0.000569,0.000707,0.000747,0.000529,0.000511
2016-01-01 08:00:00,0.000632,0.000669,0.00066,0.000998,0.000648,0.000813,0.000803,0.000642,0.000601
2016-01-01 08:15:00,0.000463,0.000526,0.0005,0.000772,0.000505,0.000714,0.000687,0.000463,0.000507
2016-01-01 08:30:00,0.00051,0.000512,0.000515,0.000843,0.000518,0.000615,0.000692,0.000535,0.000501
2016-01-01 08:45:00,0.000603,0.000617,0.000558,0.000885,0.000609,0.000806,0.000743,0.000606,0.000545
2016-01-01 09:00:00,0.000628,0.000664,0.000607,0.001065,0.000663,0.000917,0.0008,0.000674,0.00066
2016-01-01 09:15:00,0.000466,0.000441,0.000403,0.00078,0.000422,0.000629,0.000559,0.000414,0.00049
2016-01-01 09:30:00,0.00056,0.000543,0.0005,0.000812,0.000585,0.000658,0.000724,0.000542,0.000487
2016-01-01 09:45:00,0.000559,0.000558,0.000573,0.000931,0.000491,0.000687,0.000677,0.000572,0.000512
2016-01-01 10:00:00,0.00055,0.000558,0.000534,0.000861,0.00064,0.000851,0.000783,0.000574,0.00053
2016-01-01 10:15:00,0.000524,0.000518,0.000497,0.000854,0.000549,0.000725,0.000689,0.000457,0.000459
2016-01-01 10:30:00,0.000458,0.000481,0.000493,0.000812,0.000484,0.00058,0.00059,0.0005,0.000455
2016-01-01 10:45:00,0.00058,0.000682,0.000587,0.001141,0.000656,0.000903,0.000802,0.000648,0.000679
2016-01-01 11:00:00,0.000568,0.000628,0.000674,0.000988,0.000557,0.000804,0.00085,0.00057,0.00061
2016-01-01 11:15:00,0.001319,0.00116,0.001301,0.002184,0.001348,0.001734,0.001626,0.00136,0.001224
2016-01-01 11:30:00,0.001593,0.001802,0.00175,0.00293,0.001856,0.002433,0.002207,0.001608,0.001656
2016-01-01 11:45:00,0.001898,0.002142,0.002122,0.003315,0.002058,0.002482,0.002413,0.001934,0.002125
2016-01-01 12:00:00,0.001711,0.001798,0.001863,0.00298,0.001688,0.002219,0.002588,0.001774,0.001756
2016-01-01 12:15:00,0.001824,0.001719,0.002044,0.003172,0.001909,0.002455,0.002506,0.001934,0.001746
2016-01-01 12:30:00,0.001631,0.001555,0.001627,0.002492,0.001425,0.002124,0.002246,0.001693,0.001482
2016-01-01 12:45:00,0.001082,0.001115,0.001231,0.001864,0.001115,0.001554,0.001515,0.001159,0.001084
2016-01-01 13:00:00,0.001338,0.001377,0.001193,0.002173,0.001342,0.001872,0.001825,0.001361,0.001237
2016-01-01 13:15:00,0.001822,0.001713,0.001705,0.00274,0.001549,0.002482,0.002296,0.00157,0.001559
2016-01-01 13:30:00,0.002771,0.002807,0.002644,0.004281,0.002369,0.003474,0.003146,0.002346,0.002696
2016-01-01 13:45:00,0.002157,0.002241,0.002206,0.004186,0.002479,0.003454,0.003183,0.002547,0.002375
2016-01-01 14:00:00,0.001447,0.001491,0.001457,0.002309,0.001427,0.001997,0.002023,0.001265,0.001361
2016-01-01 14:15:00,0.002766,0.002509,0.002423,0.004244,0.002825,0.003606,0.003919,0.002608,0.002529
2016-01-01 14:30:00,0.00205,0.002198,0.001863,0.00364,0.001934,0.002969,0.0029,0.001854,0.001941
2016-01-01 14:45:00,0.001777,0.001736,0.001782,0.00295,0.001652,0.002115,0.002064,0.00161,0.001558
2016-01-01 15:00:00,0.001952,0.002103,0.001775,0.003103,0.001742,0.002436,0.002709,0.001906,0.001892
2016-01-01 15:15:00,0.000983,0.000947,0.000994,0.001382,0.000885,0.001222,0.001338,0.000905,0.000859
2016-01-01 15:30:00,0.000853,0.000907,0.000901,0.001466,0.000858,0.001333,0.001238,0.001009,0.000947
2016-01-01 15:45:00,0.000713,0.000669,0.000638,0.001082,0.000752,0.001019,0.000899,0.00075,0.000635
2016-01-01 16:00:00,0.001041,0.00103,0.000929,0.001592,0.001024,0.001326,0.001351,0.001063,0.001054
2016-01-01 16:15:00,0.0006,0.000596,0.000549,0.000896,0.000564,0.000705,0.000778,0.000527,0.00055
2016-01-01 16:30:00,0.000873,0.000842,0.000815,0.001497,0.000861,0.001042,0.00107,0.000801,0.000791
2016-01-01 16:45:00,0.001724,0.001751,0.001595,0.002559,0.001773,0.002126,0.002116,0.001586,0.001716
2016-01-01 17:00:00,0.001378,0.001294,0.001379,0.00224,0.001501,0.001867,0.001962,0.001422,0.001415
2016-01-01 17:15:00,0.001979,0.001964,0.00182,0.002752,0.001794,0.002223,0.002278,0.001735,0.001623
2016-01-01 17:30:00,0.001176,0.001391,0.001396,0.002321,0.001382,0.001633,0.00169,0.00142,0.001383
2016-01-01 17:45:00,0.001861,0.001839,0.001787,0.002894,0.001703,0.002387,0.002406,0.00188,0.001676
2016-01-01 18:00:00,0.000905,0.000915,0.000953,0.001419,0.00087,0.0012,0.001266,0.00086,0.000882
2016-01-01 18:15:00,0.001807,0.001906,0.001641,0.003062,0.001878,0.002609,0.002313,0.001706,0.001924
2016-01-01 18:30:00,0.001279,0.00131,0.001202,0.001953,0.001192,0.001824,0.001831,0.001321,0.001218
2016-01-01 18:45:00,0.001205,0.001268,0.001426,0.002267,0.001428,0.001753,0.001664,0.001411,0.001192
2016-01-01 19:00:00,0.001022,0.001064,0.001064,0.001671,0.001001,0.001338,0.001501,0.001089,0.00099
2016-01-01 19:15:00,0.000768,0.00069,0.000721,0.001314,0.000747,0.001032,0.000942,0.000705,0.00077
2016-01-01 19:30:00,0.000546,0.000631,0.00054,0.000991,0.000565,0.000852,0.000794,0.000551,0.000632
2016-01-01 19:45:00,0.00136,0.001217,0.001188,0.002243,0.001276,0.001835,0.001744,0.001197,0.001361
2016-01-01 20:00:00,0.000934,0.000936,0.000935,0.001638,0.000862,0.001123,0.00133,0.000898,0.000992
2016-01-01 20:15:00,0.000898,0.000871,0.000802,0.001485,0.000943,0.001188,0.001077,0.000806,0.000888
2016-01-01 20:30:00,0.000876,0.000975,0.000989,0.001541,0.000885,0.001251,0.001251,0.001048,0.000919
2016-01-01 20:45:00,0.001192,0.001291,0.001396,0.001913,0.001387,0.001705,0.001696,0.001263,0.001205
2016-01-01 21:00:00,0.000813,0.000863,0.000859,0.001357,0.000921,0.001044,0.001091,0.000876,0.000922
2016-01-01 21:15:00,0.000784,0.000674,0.000652,0.001224,0.000775,0.001008,0.000981,0.000721,0.000743
2016-01-01 21:30:00,0.001055,0.001003,0.000947,0.001625,0.000934,0.001264,0.001417,0.000942,0.001043
2016-01-01 21:45:00,0.000939,0.000908,0.000847,0.001599,0.000857,0.001214,0.001136,0.000953,0.001017
2016-01-01 22:00:00,0.000732,0.000685,0.000759,0.001149,0.000763,0.001007,0.000954,0.000751,0.000772
2016-01-01 22:15:00,0.000825,0.000837,0.000808,0.001241,0.000781,0.001118,0.00109,0.000748,0.000742
2016-01-01 22:30:00,0.000623,0.00061,0.0006,0.000998,0.000601,0.000684,0.00077,0.000585,0.000556
2016-01-01 22:45:00,0.000452,0.000415,0.000463,0.000791,0.000434,0.000546,0.000537,0.000407,0.00044
2016-01-01 23:00:00,0.000529,0.000486,0.000478,0.000762,0.000496,0.000677,0.000701,0.000451,0.000473
2016-01-01 23:15:00,0.000485,0.000416,0.000485,0.000699,0.000414,0.000575,0.000552,0.000423,0.000458
2016-01-01 23:30:00,0.000604,0.000591,0.000516,0.000994,0.000601,0.000802,0.000694,0.000554,0.000619
2016-01-01 23:45:00,0.000393,0.00036,0.00039,0.000618,0.000387,0.000519,0.000495,0.000359,0.000414
2016-01-02 00:00:00,0.000466,0.00043,0.000434,0.000736,0.0004,0.000599,0.000617,0.00043,0.000438
2016-01-02 00:15:00,0.00053,0.000583,0.00051,0.000839,0.000573,0.000761,0.000716,0.000598,0.000563
2016-01-02 00:30:00,0.000239,0.00025,0.000241,0.00046,0.000267,0.000354,0.000371,0.000282,0.000235
2016-01-02 00:45:00,0.000209,0.0002,0.000229,0.000344,0.000204,0.000276,0.000267,0.000201,0.000232
2016-01-02 01:00:00,0.000193,0.000174,0.000192,0.000284,0.000191,0.000234,0.000229,0.000169,0.000196
2016-01-02 01:15:00,0.000199,0.000197,0.000202,0.00033,0.000197,0.000269,0.000261,0.000206,0.000187
2016-01-02 01:30:00,0.00012,0.00012,0.000134,0.000213,0.000118,0.00016,0.000154,0.000124,0.000128
2016-01-02 01:45:00,7.8e-05,9.1e-05,8.5e-05,0.000142,8.6e-05,0.000107,0.000124,8.4e-05,8.4e-05
2016-01-02 02:00:00,8.2e-05,7e-05,7.2e-05,0.000129,7.5e-05,0.000108,9.3e-05,7.7e-05,7.7e-05
2016-01-02 02:15:00,0.0001,9.3e-05,0.0001,0.000156,9.8e-05,0.000139,0.00013,9.6e-05,9e-05
2016-01-02 02:30:00,9.6e-05,9.5e-05,0.000106,0.000164,0.000101,0.00014,0.000139,9.5e-05,0.000101
2016-01-02 02:45:00,9.5e-05,9.9e-05,0.000113,0.000163,0.000104,0.000135,0.000133,0.000111,9.6e-05
2016-01-02 03:00:00,9.7e-05,0.000105,9.6e-05,0.000156,0.000103,0.000139,0.000124,9.4e-05,9.6e-05
2016-01-02 03:15:00,8.7e-05,8.5e-05,9.1e-05,0.000166,0.000101,0.000114,0.000118,8.4e-05,8.8e-05
2016-01-02 03:30:00,9.9e-05,8.8e-05,8.7e-05,0.000149,9.4e-05,0.000123,0.000135,9.4e-05,9e-05
2016-01-02 03:45:00,8.7e-05,8e-05,8.7e-05,0.000157,9.3e-05,0.000106,0.000127,8.3e-05,8e-05
2016-01-02 04:00:00,0.000105,9.8e-05,0.000111,0.000166,9.3e-05,0.000136,0.000143,0.000107,0.00011
2016-01-02 04:15:00,8.3e-05,8.4e-05,7.4e-05,0.00012,8.5e-05,0.000104,0.0001,7.7e-05,8e-05
2016-01-02 04:30:00,8.1e-05,8.9e-05,8.7e-05,0.000137,8.5e-05,0.000122,0.000111,8.2e-05,8.6e-05
2016-01-02 04:45:00,6.3e-05,6e-05,6.4e-05,9e-05,6.1e-05,7.5e-05,7.2e-05,5.5e-05,5.4e-05
2016-01-02 05:00:00,6.8e-05,7e-05,7.3e-05,9.9e-05,7.2e-05,8.8e-05,9.4e-05,6.9e-05,6.8e-05
2016-01-02 05:15:00,5.5e-05,4.6e-05,4.8e-05,8.7e-05,4.6e-05,6.5e-05,6.2e-05,5.2e-05,5.4e-05
2016-01-02 05:30:00,7.9e-05,7.7e-05,8e-05,0.00013,7.7e-05,0.000104,0.000111,6.8e-05,7.4e-05
2016-01-02 05:45:00,6.4e-05,6.2e-05,5.7e-05,9.6e-05,6.9e-05,7.8e-05,7.9e-05,6.3e-05,6.1e-05
2016-01-02 06:00:00,0.000113,0.000124,0.000118,0.000178,0.000109,0.000142,0.000153,0.000117,0.000113
2016-01-02 06:15:00,0.000531,0.000535,0.000561,0.000912,0.000537,0.000684,0.000778,0.000536,0.000511
2016-01-02 06:30:00,0.000747,0.000721,0.000687,0.001254,0.000652,0.000923,0.000928,0.00076,0.000741
2016-01-02 06:45:00,0.000567,0.000589,0.000677,0.000925,0.00059,0.000771,0.000888,0.000601,0.000677
2016-01-02 07:00:00,0.000711,0.000625,0.00066,0.001044,0.000599,0.000898,0.000823,0.00069,0.000711
2016-01-02 07:15:00,0.000649,0.000568,0.000637,0.000958,0.000644,0.000897,0.000867,0.0006,0.000638
2016-01-02 07:30:00,0.000588,0.000529,0.000586,0.00087,0.000572,0.000654,0.00071,0.000492,0.000568
2016-01-02 07:45:00,0.000505,0.000569,0.000565,0.000775,0.000472,0.000679,0.000657,0.000471,0.000512
2016-01-02 08:00:00,0.000722,0.000734,0.000796,0.001196,0.000723,0.001061,0.000977,0.000777,0.000743
2016-01-02 08:15:00,0.000346729588355697,0.000336600409370025,0.00031166704571298614,0.0005423006595405959,0.00033348373891289515,0.00046983807141232656,0.0004713964066408915,0.0003038753695701615,0.0003101087104844212
2016-01-02 08:30:00,0.0004519087885985748,0.000397846080760095,0.00042418432304038,0.0006508318289786222,0.00043250166270783843,0.0005891448931116389,0.0005745895486935866,0.0004477501187648456,0.00040824275534441805
2016-01-02 08:45:00,0.0003851627071823204,0.0004304759668508287,0.0004322187845303867,0.000707003038674033,0.00040549558011049726,0.0004967030386740332,0.0005396925414364641,0.00043802817679558005,0.00037122016574585634
2016-01-02 09:00:00,0.0001698816548541289,0.00016155974946431518,0.00017447305093126758,0.00026142261414208016,0.00017102950387341354,0.0002430570298335257,0.00022296967199604415,0.00018422976759518707,0.00015237695731003796
2016-01-02 09:15:00,0.0002655106996509333,0.0002862156624677493,0.0002862156624677493,0.00040882152071634555,0.00025901502504173623,0.00033818105934132646,0.00032478373045985735,0.0002545492487479132,0.00025170739110638946
2016-01-02 09:30:00,0.00042331685108344853,0.0004121368142000922,0.0004726106500691563,0.0006946868372521899,0.00041671046565237434,0.0005686573305670815,0.0005442645228215768,0.0004029895112955279,0.0004736270170585523
2016-01-02 09:45:00,0.0008209764084244995,0.0008203051276326561,0.0009693294634218947,0.0013727692193197887,0.000967986901838208,0.001166014735432016,0.0011968936518568134,0.0008565542903922006,0.0008491702016819231
2016-01-02 10:00:00,0.0009433084943695259,0.0010131575837619908,0.0009682051994995133,0.0016701539691366604,0.000905271861532045,0.0012337700542193798,0.001223396427081885,0.0010221480606144862,0.0009695883497845127
2016-01-02 10:15:00,0.0010109447485014333,0.001020800755798801,0.0009349126922074537,0.0015868171748762052,0.0010876808053166534,0.0015016331118060983,0.001521345126400834,0.0011193608287724784,0.0010215047563200417
2016-01-02 10:30:00,0.0016923361470956959,0.0018286316757208524,0.0019332871709151693,0.0032451316339323025,0.0019649272043460093,0.0023884168825741747,0.002562031424989553,0.001938966151274551,0.0018602717091516924
2016-01-02 10:45:00,0.0012130102153989843,0.001331569552273656,0.0012604339501488529,0.0019577110501430156,0.0011922623314459166,0.0016813195960539372,0.0016368598447259353,0.0011707734516373824,0.001250060008172319
